,author,content,created_at,headline,id,images,source,summary,symbols,updated_at,url
30,Erica Kollmann,,2023-08-22T15:18:33Z,What's Going On With Nikola Corporation Stock?,33986786,"[{'size': 'large', 'url': 'https://cdn.benzinga.com/files/imagecache/2048x1536xUP/images/story/2023/08/22/nikola_corporation_nkla_stock_ev_tsla_tesla.jpeg'}, {'size': 'small', 'url': 'https://cdn.benzinga.com/files/imagecache/1024x768xUP/images/story/2023/08/22/nikola_corporation_nkla_stock_ev_tsla_tesla.jpeg'}, {'size': 'thumb', 'url': 'https://cdn.benzinga.com/files/imagecache/250x187xUP/images/story/2023/08/22/nikola_corporation_nkla_stock_ev_tsla_tesla.jpeg'}]",benzinga,Nikola Corporation (NASDAQ: NKLA) shares are lower Tuesday.,"['NKLA', 'TSLA']",2023-08-22T15:18:34Z,https://www.benzinga.com/news/23/08/33986786/whats-going-on-with-nikola-corporation-stock
31,Benzinga Newsdesk,,2023-08-22T13:37:25Z,"Top 10 Stocks On WallStreetBets As Of August 22, 2023 (Via Swaggy Stocks)",33984736,[],benzinga,,"['AAPL', 'AI', 'AMD', 'DKS', 'GLD', 'META', 'NVDA', 'PYPL', 'QQQ', 'TSLA']",2023-08-22T13:37:25Z,https://www.benzinga.com/trading-ideas/23/08/33984736/top-10-stocks-on-wallstreetbets-as-of-august-22-2023-via-swaggy-stocks
32,Benzinga Newsdesk,,2023-08-22T13:15:33Z,"Tesla, Chinese Automakers Set To Miss 2023 Sales Growth Target; Tesla And Chinese Automakers Such As BYD Are All Expected To Miss Their Sales Growth Projections For 2023 By At Least 50%, According To Industry Sources In China",33984190,[],benzinga,,"['BYDDF', 'TSLA']",2023-08-22T13:15:34Z,https://www.benzinga.com/news/23/08/33984190/tesla-chinese-automakers-set-to-miss-2023-sales-growth-target-tesla-and-chinese-automakers-such-as-b
33,Ramakrishnan M,,2023-08-22T12:34:43Z,A Chinese Smartphone Giant Has Picked Tesla And Xpeng's Battery Suppliers To Power Its EVs,33981734,"[{'size': 'large', 'url': 'https://cdn.benzinga.com/files/imagecache/2048x1536xUP/images/story/2023/Beijing,,China,-,October,21,,2021,:,Photo,Of,A.jpeg'}, {'size': 'small', 'url': 'https://cdn.benzinga.com/files/imagecache/1024x768xUP/images/story/2023/Beijing,,China,-,October,21,,2021,:,Photo,Of,A.jpeg'}, {'size': 'thumb', 'url': 'https://cdn.benzinga.com/files/imagecache/250x187xUP/images/story/2023/Beijing,,China,-,October,21,,2021,:,Photo,Of,A.jpeg'}]",benzinga,Xiaomi has chosen CALB and  CATL as its tier-1 and tier-2 battery suppliers.,"['BYDDF', 'BYDDY', 'TSLA', 'XIACY', 'XPEV']",2023-08-22T12:34:43Z,https://www.benzinga.com/markets/asia/23/08/33981734/a-chinese-smartphone-giant-has-picked-tesla-and-xpengs-battery-suppliers-to-power-its-evs
34,Shanthi Rexaline,,2023-08-22T11:40:56Z,Tesla Stock Driving Toward Gains For 2nd Day: What's Going On?,33980358,"[{'size': 'large', 'url': 'https://cdn.benzinga.com/files/imagecache/2048x1536xUP/images/story/2023/Tesla_stock_13.jpeg'}, {'size': 'small', 'url': 'https://cdn.benzinga.com/files/imagecache/1024x768xUP/images/story/2023/Tesla_stock_13.jpeg'}, {'size': 'thumb', 'url': 'https://cdn.benzinga.com/files/imagecache/250x187xUP/images/story/2023/Tesla_stock_13.jpeg'}]",benzinga,Tesla&#39;s oversold levels following a six-session losing streak has brought in bargain hunters and the stock is up in premarket Tuesday.,['TSLA'],2023-08-22T11:40:56Z,https://www.benzinga.com/markets/equities/23/08/33980358/tesla-stock-driving-toward-gains-for-2nd-day-whats-going-on
35,Shomik Sen Bhattacharjee,,2023-08-22T10:20:34Z,Tesla Inching Closer To India Debut? Spy Shots Of Model Y At Mahindra Facility Build Up Buzz,33977786,"[{'size': 'large', 'url': 'https://cdn.benzinga.com/files/imagecache/2048x1536xUP/images/story/2023/08/22/shutterstock_2263245917.jpg'}, {'size': 'small', 'url': 'https://cdn.benzinga.com/files/imagecache/1024x768xUP/images/story/2023/08/22/shutterstock_2263245917.jpg'}, {'size': 'thumb', 'url': 'https://cdn.benzinga.com/files/imagecache/250x187xUP/images/story/2023/08/22/shutterstock_2263245917.jpg'}]",benzinga,This story was first published on the Benzinga India portal.,['TSLA'],2023-08-22T10:20:35Z,https://www.benzinga.com/news/23/08/33977786/tesla-inching-closer-to-india-debut-spy-shots-of-model-y-at-mahindra-facility-build-up-buzz
36,Shanthi Rexaline,,2023-08-22T09:43:07Z,Jim Cramer Dives Deep Into Nvidia's 'Really Incredible' Monday Surge: What Stock's Short Interest Looks Like Ahead Of Q2 Print,33978390,"[{'size': 'large', 'url': 'https://cdn.benzinga.com/files/imagecache/2048x1536xUP/images/story/2023/Nvidia_20.jpeg'}, {'size': 'small', 'url': 'https://cdn.benzinga.com/files/imagecache/1024x768xUP/images/story/2023/Nvidia_20.jpeg'}, {'size': 'thumb', 'url': 'https://cdn.benzinga.com/files/imagecache/250x187xUP/images/story/2023/Nvidia_20.jpeg'}]",benzinga,"Nvidia stock may have been a beneficiary of short covering, says Jim Cramer, and a beat-and-raise quarter could lead to a short squeeze.","['AMD', 'META', 'NVDA', 'PANW', 'TSLA']",2023-08-22T09:43:07Z,https://www.benzinga.com/analyst-ratings/analyst-color/23/08/33978390/jim-cramer-dives-deep-into-nvidias-really-incredible-monday-surge-what-stocks-short
37,Charles Gross,,2023-08-22T09:30:09Z,Tesla Granted U.S. Patent #11734095: System And Method For Handling Errors In A Vehicle Neural Network Processor,33978290,[],benzinga,,['TSLA'],2023-08-22T09:30:09Z,https://www.benzinga.com/fintech/23/08/33978290/tesla-granted-u-s-patent-11734095-system-and-method-for-handling-errors-in-a-vehicle-neural-network
38,Ramakrishnan M,,2023-08-22T07:51:10Z,Elon Musk Loses Key Tesla Engineer Behind Roadster To EV Startup Founded By Ex-Colleague,33977548,"[{'size': 'large', 'url': 'https://cdn.benzinga.com/files/imagecache/2048x1536xUP/images/story/2023/Tesla_Photo_by_Mike_Mareen_on_Shutterstock_1.jpeg'}, {'size': 'small', 'url': 'https://cdn.benzinga.com/files/imagecache/1024x768xUP/images/story/2023/Tesla_Photo_by_Mike_Mareen_on_Shutterstock_1.jpeg'}, {'size': 'thumb', 'url': 'https://cdn.benzinga.com/files/imagecache/250x187xUP/images/story/2023/Tesla_Photo_by_Mike_Mareen_on_Shutterstock_1.jpeg'}]",benzinga,"One of Elon Musk-led Tesla&#39;s key engineering figures, Colin Campbell, is bidding farewell to the EV giant after 17 years of service. ",['TSLA'],2023-08-22T08:53:31Z,https://www.benzinga.com/23/08/33977548/elon-musk-loses-key-tesla-engineer-behind-roadster-to-ev-startup-founded-by-ex-colleague
39,Shanthi Rexaline,,2023-08-22T06:25:26Z,"Tesla Revs Up Cybertruck Mass Production For Fall Delivery Spectacle, Pricing Clues Emerge From New Report",33977062,"[{'size': 'large', 'url': 'https://cdn.benzinga.com/files/imagecache/2048x1536xUP/images/story/2023/Surakarta,,Indonesia,-,October,20,2022,:,Tesla,Cybertruck,Electric_1.jpeg'}, {'size': 'small', 'url': 'https://cdn.benzinga.com/files/imagecache/1024x768xUP/images/story/2023/Surakarta,,Indonesia,-,October,20,2022,:,Tesla,Cybertruck,Electric_1.jpeg'}, {'size': 'thumb', 'url': 'https://cdn.benzinga.com/files/imagecache/250x187xUP/images/story/2023/Surakarta,,Indonesia,-,October,20,2022,:,Tesla,Cybertruck,Electric_1.jpeg'}]",benzinga,"Mass movement of Cybertucks out of Giga Austin has lend credence to rumors that production has started in earnest in time for fall delivery, a report says.","['F', 'TSLA']",2023-08-22T08:45:58Z,https://www.benzinga.com/23/08/33977062/tesla-revs-up-cybertruck-mass-production-for-fall-delivery-spectacle-pricing-clues-emerge-from-new-r
40,Benzinga Neuro,,2023-08-22T05:06:21Z,Tesla Investor Says EV Giant And Nvidia's AI-GPU Fusion Is The 'Future' Now: 'It's All Coming Together',33976696,"[{'size': 'large', 'url': 'https://cdn.benzinga.com/files/imagecache/2048x1536xUP/images/story/2023/Tesla.Shutterstock_4.jpeg'}, {'size': 'small', 'url': 'https://cdn.benzinga.com/files/imagecache/1024x768xUP/images/story/2023/Tesla.Shutterstock_4.jpeg'}, {'size': 'thumb', 'url': 'https://cdn.benzinga.com/files/imagecache/250x187xUP/images/story/2023/Tesla.Shutterstock_4.jpeg'}]",benzinga, ,"['NVDA', 'TSLA']",2023-08-22T05:06:22Z,https://www.benzinga.com/news/23/08/33976696/tesla-investor-says-ev-giant-and-nvidias-ai-gpu-fusion-is-the-future-now-its-all-coming-together
41,Benzinga Neuro,,2023-08-22T02:11:57Z,"Nvidia, Zoom, Moderna, Baidu, Tesla: Why These Five Stocks Are Drawing Investors' Attention Today",33976002,"[{'size': 'large', 'url': 'https://cdn.benzinga.com/files/imagecache/2048x1536xUP/images/story/2023/Stocks_Photo_by_WHYFRAME_on_Shutterstock_17.jpeg'}, {'size': 'small', 'url': 'https://cdn.benzinga.com/files/imagecache/1024x768xUP/images/story/2023/Stocks_Photo_by_WHYFRAME_on_Shutterstock_17.jpeg'}, {'size': 'thumb', 'url': 'https://cdn.benzinga.com/files/imagecache/250x187xUP/images/story/2023/Stocks_Photo_by_WHYFRAME_on_Shutterstock_17.jpeg'}]",benzinga, ,"['BIDU', 'MRNA', 'NVDA', 'TSLA', 'ZM']",2023-08-22T02:11:58Z,https://www.benzinga.com/markets/equities/23/08/33976002/nvidia-zoom-moderna-baidu-tesla-why-these-five-stocks-are-drawing-investors-attention-today
42,Mohit Manghnani,,2023-08-21T11:41:04Z,Tesla's Employee Data Leak and Using Siri for Car Commands: Top Stories For Elon Musk Led EV Company Today,33960465,"[{'size': 'large', 'url': 'https://cdn.benzinga.com/files/imagecache/2048x1536xUP/images/story/2023/08/21/tesla-photo_by_b.zhou_on_shutterstock.jpg'}, {'size': 'small', 'url': 'https://cdn.benzinga.com/files/imagecache/1024x768xUP/images/story/2023/08/21/tesla-photo_by_b.zhou_on_shutterstock.jpg'}, {'size': 'thumb', 'url': 'https://cdn.benzinga.com/files/imagecache/250x187xUP/images/story/2023/08/21/tesla-photo_by_b.zhou_on_shutterstock.jpg'}]",benzinga,"Today&#39;s top stories for Tesla Inc. (NASDAQ: TSLA) encompass a significant data breach, concerns about the safety of its autonomous driving technology, and enhanced integration with Apple&#39;s Siri.",['TSLA'],2023-08-21T21:38:16Z,https://www.benzinga.com/news/23/08/33960465/teslas-employee-data-leak-full-self-driving-problem-and-using-siri-for-car-commands-top-stories-for
43,Aaron Bry,,2023-08-21T21:08:39Z,"Tesla, Nvidia Surge By Same Value As Goldman Sachs, Starbucks In 1 Day",33973181,"[{'size': 'large', 'url': 'https://cdn.benzinga.com/files/imagecache/2048x1536xUP/images/story/2023/08/21/nvidia-large-language-model-services.jpg'}, {'size': 'small', 'url': 'https://cdn.benzinga.com/files/imagecache/1024x768xUP/images/story/2023/08/21/nvidia-large-language-model-services.jpg'}, {'size': 'thumb', 'url': 'https://cdn.benzinga.com/files/imagecache/250x187xUP/images/story/2023/08/21/nvidia-large-language-model-services.jpg'}]",benzinga,"When people on Wall Street call companies like NVIDIA Corp (NASDAQ: NVDA) and Tesla Inc (NASDAQ: TSLA) tech giants, they really aren’t kidding about the giant part.","['ABNB', 'BUD', 'BX', 'CVS', 'GS', 'LMT', 'MO', 'NVDA', 'SBUX', 'SHOP', 'SONY', 'T', 'TSLA']",2023-08-21T21:08:40Z,https://www.benzinga.com/top-stories/23/08/33973181/tesla-nvidia-surge-by-same-value-as-goldman-sachs-starbucks-in-1-day
44,Erica Kollmann,,2023-08-21T19:11:55Z,Why Tesla Stock Is Higher Today,33969471,"[{'size': 'large', 'url': 'https://cdn.benzinga.com/files/imagecache/2048x1536xUP/images/story/2023/08/21/elon_musk_tesla_inc._tsla_stock_.jpg'}, {'size': 'small', 'url': 'https://cdn.benzinga.com/files/imagecache/1024x768xUP/images/story/2023/08/21/elon_musk_tesla_inc._tsla_stock_.jpg'}, {'size': 'thumb', 'url': 'https://cdn.benzinga.com/files/imagecache/250x187xUP/images/story/2023/08/21/elon_musk_tesla_inc._tsla_stock_.jpg'}]",benzinga,"Tesla, Inc. (NASDAQ: TSLA) shares are trading higher Monday after Baird Equity Research added Tesla to its &#34;best ideas&#34; list, according to Reuters.

The Details:","['RIVN', 'TSLA']",2023-08-21T19:11:56Z,https://www.benzinga.com/news/23/08/33969471/why-tesla-stock-is-higher-today
45,Benzinga Insights,,2023-08-21T17:35:24Z,10 Consumer Discretionary Stocks Whale Activity In Today's Session,33968769,"[{'size': 'large', 'url': 'https://cdn.benzinga.com/files/imagecache/2048x1536xUP/images/story/2023/options_image_4.jpeg'}, {'size': 'small', 'url': 'https://cdn.benzinga.com/files/imagecache/1024x768xUP/images/story/2023/options_image_4.jpeg'}, {'size': 'thumb', 'url': 'https://cdn.benzinga.com/files/imagecache/250x187xUP/images/story/2023/options_image_4.jpeg'}]",benzinga, ,"['ABNB', 'CROX', 'CVNA', 'DHI', 'F', 'FIVE', 'LAD', 'TPR', 'TSCO', 'TSLA']",2023-08-21T17:35:24Z,https://www.benzinga.com/markets/options/23/08/33968769/10-consumer-discretionary-stocks-whale-activity-in-todays-session
46,Chris Katje,,2023-08-21T17:20:44Z,Is NVIDIA Overpriced? Cathie Wood's Ark Invest Highlights 3 Other AI Stocks,33966459,"[{'size': 'large', 'url': 'https://cdn.benzinga.com/files/imagecache/2048x1536xUP/images/story/2023/08/21/nvidia_chart_shutter.jpg'}, {'size': 'small', 'url': 'https://cdn.benzinga.com/files/imagecache/1024x768xUP/images/story/2023/08/21/nvidia_chart_shutter.jpg'}, {'size': 'thumb', 'url': 'https://cdn.benzinga.com/files/imagecache/250x187xUP/images/story/2023/08/21/nvidia_chart_shutter.jpg'}]",benzinga,"Over the last year, the conversation among investors and analysts has prominently centered on artificial intelligence.","['AAPL', 'AMZN', 'ARKF', 'ARKK', 'ARKQ', 'ARKW', 'ARKX', 'CSCO', 'GOOG', 'GOOGL', 'META', 'MSFT', 'NVDA', 'PATH', 'QQQ', 'SPY', 'TSLA', 'TWLO']",2023-08-21T17:32:25Z,https://www.benzinga.com/etfs/specialty-etfs/23/08/33966459/is-nvidia-overpriced-cathie-woods-ark-invest-points-to-3-other-stocks
47,Shanthi Rexaline,,2023-08-21T17:25:21Z,"US Stocks Mixed, Treasury Yields Soar To More Than A Decade High: What's Driving Markets Monday?",33959699,"[{'size': 'large', 'url': 'https://cdn.benzinga.com/files/imagecache/2048x1536xUP/images/story/2023/Wall_Street_sign_0.jpeg'}, {'size': 'small', 'url': 'https://cdn.benzinga.com/files/imagecache/1024x768xUP/images/story/2023/Wall_Street_sign_0.jpeg'}, {'size': 'thumb', 'url': 'https://cdn.benzinga.com/files/imagecache/250x187xUP/images/story/2023/Wall_Street_sign_0.jpeg'}]",benzinga,"On Monday, U.S. stocks made a cautious attempt at bouncing back following three consecutive weeks of losses. The upward momentum seems uncertain, and the recent increases in Treasury yields are posing challenges for the market bulls. 



The 10-year Treasury yield reached 4.35%, reaching its highest level since October 2007.","['AMC', 'BTCUSD', 'DIA', 'FEZ', 'FXE', 'GLD', 'MRNA', 'NDSN', 'NKLA', 'NVDA', 'PANW', 'QQQ', 'SPY', 'TLT', 'TSLA', 'USO', 'UUP', 'XLE', 'XLK', 'XLRE']",2023-08-21T17:25:26Z,https://www.benzinga.com/news/earnings/23/08/33959699/us-stocks-gear-up-for-rebound-as-traders-eye-nvidia-earnings-jackson-hole-analyst-sees-bond-yield-c
48,Michael Cohen,,2023-08-21T16:00:08Z,Elon Musk: The Unofficial Power Behind US Government Decisions?,33966569,"[{'size': 'large', 'url': 'https://cdn.benzinga.com/files/imagecache/2048x1536xUP/images/story/2023/08/21/musk_capitol_shutter.jpg'}, {'size': 'small', 'url': 'https://cdn.benzinga.com/files/imagecache/1024x768xUP/images/story/2023/08/21/musk_capitol_shutter.jpg'}, {'size': 'thumb', 'url': 'https://cdn.benzinga.com/files/imagecache/250x187xUP/images/story/2023/08/21/musk_capitol_shutter.jpg'}]",benzinga,Elon Musk&#39;s role in the U.S. government and his influence across various industries have become a significant cause for concern.,['TSLA'],2023-08-21T16:08:58Z,https://www.benzinga.com/government/23/08/33966569/elon-musks-shadow-rule-the-unofficial-power-behind-us-government-decisions
49,Vandana Singh,,2023-08-21T15:17:18Z,"Meta's Threads Prepares To Counter Elon Musk's X, Tesla Data Breach Affects Over 75K People, Medical Properties Trust's Prospect Medical Deal On Hold: Today's Top Stories",33964463,"[{'size': 'large', 'url': 'https://cdn.benzinga.com/files/imagecache/2048x1536xUP/images/story/2023/08/21/elon_musk_twitter_created_with_artificial_intelligence_on_midjourney_and_ink_drop_on_shutterstock.jpg'}, {'size': 'small', 'url': 'https://cdn.benzinga.com/files/imagecache/1024x768xUP/images/story/2023/08/21/elon_musk_twitter_created_with_artificial_intelligence_on_midjourney_and_ink_drop_on_shutterstock.jpg'}, {'size': 'thumb', 'url': 'https://cdn.benzinga.com/files/imagecache/250x187xUP/images/story/2023/08/21/elon_musk_twitter_created_with_artificial_intelligence_on_midjourney_and_ink_drop_on_shutterstock.jpg'}]",benzinga,Wall Street Journal,"['AMZN', 'C', 'CLF', 'DD', 'DIS', 'FDX', 'GM', 'GS', 'KHC', 'META', 'MPW', 'ODFL', 'RITM', 'SCU', 'TSLA', 'UPS', 'WMT', 'X', 'YELL']",2023-08-21T15:22:07Z,https://www.benzinga.com/m-a/23/08/33964463/metas-threads-prepares-to-counter-elon-musks-x-tesla-data-breach-affected-over-75k-people-medical-pr
